0;0
1;4
2;16
3;540
4;15
5;17
6;30
7;10
8;12
9;65
10;31
11;18
12;16
13;11
14;15
15;56
16;10
17;1
18;8
19;64
20;19
21;24
22;17
23;10
24;22
25;11
26;10
27;30
28;13
29;9
30;18
31;7
32;6
33;16
34;5
35;14
36;9
37;82
38;19
39;12
40;1
41;21
42;2
43;8
44;75
45;10
46;13
47;13
48;20
49;11
50;12
51;11
52;6
53;7
54;30
55;2
56;14
57;9
58;22
59;9
60;8
61;6
62;13
63;10
64;0
65;3
66;17
67;8
68;19
69;8
70;25
71;16
72;14
73;6
74;12
75;7
76;20
77;32
78;19
79;13
80;34
81;9
82;10
83;15
84;11
85;53
86;13
87;14
88;20
89;15
90;14
91;12
92;11
93;9
94;8
95;25
96;19
97;28
98;24
99;19
100;57
101;24
102;13
103;20
104;9
105;13
106;23
107;32
108;4
109;11
110;9
111;9
112;10
113;49
114;5
115;30
116;28
117;5
118;45
119;157
120;11
121;12
122;51
123;18
124;7
125;569
126;19
127;79
