0;0
1;196
2;236
3;14934
4;131
5;18
6;317
7;54
8;37
9;4033
10;353
11;73
12;177
13;38
14;148
15;1878
16;54
17;36
18;141
19;99
20;23
21;1118
22;189
23;16
24;111
25;29
26;67
27;682
28;118
29;269
30;41
31;73
32;61
33;338
34;55
35;105
36;138
37;54
38;89
39;353
40;101
41;86
42;232
43;44
44;241
45;215
46;86
47;86
48;197
49;93
50;412
51;431
52;243
53;192
54;196
55;628
56;309
57;167
58;108
59;144
60;49
61;23
62;23
63;129
64;62
65;125
66;54
67;21
68;133
69;149
70;25
71;201
72;95
73;223
74;172
75;267
76;92
77;481
78;785
79;972
80;811
81;611
82;1354
83;549
84;64
85;300
86;65
87;115
88;60
89;272
90;8
91;121
92;134
93;83
94;65
95;403
96;17
97;227
98;83
99;225
100;90
101;701
102;75
103;107
104;100
105;98
106;77
107;940
108;60
109;147
110;192
111;95
112;99
113;1860
114;91
115;11
116;210
117;20
118;20
119;4015
120;55
121;9
122;297
123;73
124;75
125;14752
126;173
127;165
