0;0
1;90
2;309
3;61
4;105
5;69
6;45
7;68
8;40
9;82
10;128
11;74
12;106
13;163
14;120
15;22
16;143
17;84
18;238
19;133
20;334
21;84
22;22
23;29
24;44
25;168
26;20
27;65
28;310
29;558
30;404
31;104
32;474
33;406
34;52
35;363
36;65
37;168
38;149
39;69
40;229
41;33
42;87
43;62
44;109
45;609
46;3483
47;1432
48;606
49;99
50;1065
51;1237
52;158
53;495
54;263
55;226
56;74
57;1040
58;1119
59;283
60;248
61;146
62;25
63;77
64;59
65;76
66;82
67;127
68;141
69;24
70;87
71;127
72;154
73;1107
74;1046
75;837
76;60
77;797
78;1454
79;2374
80;1303
81;1280
82;1519
83;801
84;582
85;286
86;390
87;288
88;238
89;206
90;215
91;432
92;162
93;218
94;129
95;221
96;54
97;118
98;99
99;122
100;242
101;5
102;72
103;51
104;365
105;120
106;92
107;69
108;29
109;17
110;57
111;25
112;38
113;72
114;44
115;51
116;95
117;38
118;130
119;158
120;77
121;69
122;11
123;43
124;60
125;53
126;187
127;143

